user_id,user_segment,country,signup_date,product_id,product_name,brand,category,event_type,price,timestamp
210,browser,Malaysia,2025-04-20,,Yoga Mat,Decathlon,Sports,invalid,540,1778597805
271,browser,Singapore,2024-11-18,43.0,Desk Lamp,Philips,Home,view,150,1778597805
112,buyer,Singapore,2025-03-05,40.0,Office Chair,Ikea,Home,purchase,200,1778597805
,browser,Thailand,2024-10-11,29.0,Sandals,Havaianas,Fashion,view,70,1778597805
243,browser,Singapore,2025-04-16,46.0,Face Cleanser,Nivea,Beauty,click,30,1778597805
71,casual,Singapore,2025-05-14,4593.0,Electric Kettle,Tefal,Home,click,60,1778597805
377,casual,Singapore,2024-10-07,,Dumbbells,Decathlon,Sports,view,150,1778597805
,browser,Thailand,2026-04-10,66.0,Python Programming Book,O'Reilly,Books,view,50,1778597805
320,browser,Malaysia,2026-04-02,10.0,Gaming Laptop,Asus,Electronics,view,2200,1778597805
339,casual,Indonesia,2025-06-13,65.0,Water Bottle,Stanley,Sports,view,225,1778597805
192,browser,Singapore,2025-01-08,16.0,Running Shoes,Nike,Fashion,invalid,120,1778597805
,browser,Malaysia,2024-10-11,52.0,Makeup Kit,Maybelline,Beauty,view,120,1778597805
326,buyer,Singapore,2025-01-10,31.0,Coffee Maker,Philips,Home,click,150,1778597805
499,browser,Thailand,2025-01-21,4.0,Dell XPS 13,Dell,Electronics,invalid,1800,1778597805
88,buyer,Thailand,2025-04-04,10.0,Gaming Laptop,Asus,Electronics,purchase,13200,1778597805
234,browser,Singapore,2025-05-23,11.0,Mechanical Keyboard,Logitech,,view,-150,1778597805
331,browser,Indonesia,2025-01-09,39.0,Dining Table,Ikea,Home,view,800,1778597805
217,buyer,Vietnam,2025-04-13,5.0,iPad Air,Apple,Electronics,invalid,900,1778597805
446,browser,Vietnam,2025-08-01,53.0,Sunscreen,Nivea,Beauty,invalid,35,1778597805
39,casual,Singapore,2026-03-19,40.0,Office Chair,Ikea,Home,view,200,1778597805
464,buyer,Singapore,2025-03-19,61.0,Treadmill,Technogym,Sports,purchase,1500,1778597805
244,buyer,Indonesia,2024-12-19,26.0,Backpack,Adidas,,purchase,100,1778597805
172,browser,Malaysia,2024-09-25,34.0,Blender,Philips,,invalid,100,1778597805
,browser,Singapore,2024-10-12,53.0,Sunscreen,Nivea,Beauty,invalid,210,1778597805
315,casual,Thailand,2024-08-16,37.0,Microwave Oven,Samsung,,click,2500,1778597805
443,buyer,Malaysia,2025-01-02,61.0,Treadmill,Technogym,Sports,purchase,1500,1778597805
unknown_user,buyer,Singapore,2024-08-19,7.0,Sony Headphones,Sony,,purchase,300,1778597805
,casual,Malaysia,2026-01-25,44.0,Curtains,Ikea,Home,view,120,1778597805
125,browser,Malaysia,2026-04-20,2665.0,Formal Shirt,Zara,Fashion,click,90,1778597805
48,buyer,Malaysia,2025-06-15,42.0,Sofa,Ikea,Home,purchase,1200,1778597805
437,browser,Singapore,2024-09-01,,Sofa,Ikea,Home,view,1200,1778597805
484,browser,Malaysia,2024-09-27,17.0,Sneakers,Adidas,Fashion,view,150,1778597805
356,buyer,Malaysia,2025-02-01,16.0,Running Shoes,Nike,Fashion,click,120,1778597805
unknown_user,browser,Malaysia,2024-12-08,3165.0,4K Monitor,LG,Electronics,view,3600,1778597805
123,browser,Malaysia,2025-03-17,,Curtains,Ikea,,click,120,1778597805
483,browser,Malaysia,2025-12-02,12.0,Wireless Mouse,Logitech,Electronics,view,-80,1778597805
unknown_user,browser,Thailand,2024-10-15,6.0,Samsung Tablet,Samsung,Electronics,purchase,700,1778597805
198,casual,Singapore,2026-03-17,4825.0,Self Development Book,Penguin,Books,view,40,1778597805
unknown_user,browser,Indonesia,2026-01-15,37.0,Microwave Oven,Samsung,Home,click,-250,1778597805
24,browser,Malaysia,2025-04-11,57.0,Basketball,Nike,Sports,view,50,1778597805
265,casual,Thailand,2026-01-20,53.0,Sunscreen,Nivea,Beauty,purchase,35,1778597805
,casual,Malaysia,2025-06-29,6.0,Samsung Tablet,Samsung,Electronics,invalid,4900,1778597805
295,browser,Thailand,2025-05-25,47.0,Moisturizer,Nivea,Beauty,view,40,1778597805
200,casual,Malaysia,2025-01-27,,Watch,Casio,Fashion,view,250,1778597805
95,casual,Vietnam,2024-11-02,34.0,Blender,Philips,Home,view,300,1778597805
434,casual,Indonesia,2026-03-13,2604.0,Business Strategy Book,Harvard Press,Books,click,60,1778597805
302,browser,Malaysia,2025-01-03,32.0,Air Fryer,Xiaomi,Home,invalid,1800,1778597805
,casual,Singapore,2025-09-02,2.0,Samsung Galaxy S23,Samsung,Electronics,click,1000,1778597805
9,casual,Indonesia,2025-12-04,17.0,Sneakers,Adidas,Fashion,click,150,1778597805
475,browser,Singapore,2026-01-13,9.0,Smart Watch,Fitbit,Electronics,view,-400,1778597805
77,browser,Indonesia,2024-10-15,1.0,iPhone 15,Apple,Electronics,view,1200,1778597805
326,buyer,Indonesia,2024-06-10,,Coffee Maker,Philips,Home,purchase,150,1778597805
,browser,Thailand,2024-12-06,14.0,External SSD,Samsung,Electronics,view,1400,1778597805
276,buyer,Singapore,2025-11-25,40.0,Office Chair,Ikea,Home,view,-200,1778597805
419,browser,Malaysia,2026-01-12,19.0,T-Shirt,Uniqlo,,invalid,40,1778597805
263,buyer,Malaysia,2024-06-17,1903.0,Sony Headphones,Sony,Electronics,purchase,300,1778597805
496,casual,Singapore,2026-02-15,46.0,Face Cleanser,Nivea,Beauty,view,30,1778597805
361,browser,Malaysia,2026-05-01,,Leather Belt,Levi's,Fashion,purchase,60,1778597805
273,browser,Thailand,2024-05-26,38.0,Toaster,Philips,Home,purchase,70,1778597805
94,browser,Malaysia,2025-05-10,59.0,Yoga Mat,Decathlon,Sports,click,-60,1778597805
398,browser,Indonesia,2024-11-19,31.0,Coffee Maker,Philips,Home,view,150,1778597805
109,casual,Malaysia,2024-09-15,55.0,Nail Polish,O.P.I,Beauty,click,15,1778597805
465,browser,Thailand,2025-03-26,55.0,Nail Polish,O.P.I,Beauty,view,15,1778597805
275,casual,Malaysia,2024-06-20,2652.0,Samsung Galaxy S23,Samsung,Electronics,click,1000,1778597805
71,browser,Indonesia,2024-10-18,59.0,Yoga Mat,Decathlon,Sports,view,60,1778597805
230,casual,Indonesia,2025-10-17,42.0,Sofa,Ikea,Home,purchase,1200,1778597805
260,casual,Malaysia,2025-07-07,2.0,Samsung Galaxy S23,Samsung,Electronics,click,1000,1778597805
490,browser,Thailand,2025-11-04,5.0,iPad Air,Apple,Electronics,purchase,900,1778597805
477,browser,Singapore,2025-09-22,52.0,Makeup Kit,Maybelline,Beauty,view,120,1778597805
122,browser,Malaysia,2025-03-30,26.0,Backpack,Adidas,Fashion,view,500,1778597805
329,browser,Malaysia,2025-04-02,,Lipstick,Maybelline,Beauty,view,25,1778597805
38,casual,Malaysia,2025-02-13,18.0,Jeans,Levi's,,invalid,80,1778597805
unknown_user,browser,Philippines,2025-10-20,1.0,iPhone 15,Apple,Electronics,view,1200,1778597805
363,casual,Indonesia,2026-04-15,3083.0,Toaster,Philips,Home,purchase,70,1778597805
389,browser,Indonesia,2026-01-05,29.0,Sandals,Havaianas,Fashion,invalid,70,1778597805
254,browser,Indonesia,2025-06-25,21.0,Dress,H&M,Fashion,view,120,1778597805
209,browser,Thailand,2025-09-12,2.0,Samsung Galaxy S23,Samsung,Electronics,view,1000,1778597805
222,browser,Malaysia,2025-10-15,38.0,Toaster,Philips,Home,view,70,1778597805
337,browser,Thailand,2025-05-24,9.0,Smart Watch,Fitbit,Electronics,view,-400,1778597805
172,buyer,Malaysia,2024-11-23,51.0,Hair Dryer,Philips,Beauty,click,80,1778597805
462,browser,Philippines,2024-08-18,46.0,Face Cleanser,Nivea,Beauty,view,90,1778597805
493,browser,Malaysia,2024-08-19,28.0,Formal Shirt,Zara,Fashion,invalid,180,1778597805
290,browser,Singapore,2025-11-16,49.0,Perfume,Dior,Beauty,view,150,1778597805
395,browser,Malaysia,2026-02-17,52.0,Makeup Kit,Maybelline,Beauty,view,120,1778597805
110,browser,Malaysia,2024-09-03,,Leather Belt,Levi's,Fashion,view,60,1778597805
151,browser,Singapore,2025-07-01,52.0,Makeup Kit,Maybelline,Beauty,view,120,1778597805
67,browser,Philippines,2025-09-02,66.0,Python Programming Book,O'Reilly,Books,view,50,1778597805
unknown_user,casual,Indonesia,2024-06-14,31.0,Coffee Maker,Philips,Home,view,150,1778597805
60,casual,Vietnam,2025-01-06,18.0,Jeans,Levi's,Fashion,click,80,1778597805
261,browser,Malaysia,2026-02-02,,Office Chair,Ikea,Home,view,200,1778597805
430,browser,Malaysia,2025-11-11,32.0,Air Fryer,Xiaomi,Home,view,180,1778597805
255,casual,Philippines,2025-05-13,,Basketball,Nike,Sports,view,50,1778597805
226,browser,Vietnam,2025-09-23,70.0,Self Development Book,Penguin,Books,view,40,1778597805
unknown_user,casual,Malaysia,2025-03-28,45.0,Wall Clock,Generic,Home,invalid,-40,1778597805
33,browser,Malaysia,2025-07-02,2935.0,Dumbbells,Decathlon,Sports,invalid,150,1778597805
485,buyer,Thailand,2026-02-26,44.0,Curtains,Ikea,Home,click,120,1778597805
unknown_user,casual,Philippines,2024-10-16,58.0,Tennis Racket,Wilson,Sports,view,1800,1778597805
unknown_user,casual,Malaysia,2025-05-20,31.0,Coffee Maker,Philips,Home,view,1200,1778597805
,casual,Philippines,2024-06-10,20.0,Jacket,Zara,Fashion,view,200,1778597805
378,browser,Malaysia,2026-04-10,,Makeup Kit,Maybelline,Beauty,view,120,1778597805
54,browser,Singapore,2025-04-26,32.0,Air Fryer,Xiaomi,,click,180,1778597805
174,browser,Thailand,2025-03-26,4.0,Dell XPS 13,Dell,Electronics,view,1800,1778597805
,casual,Vietnam,2025-06-05,,External SSD,Samsung,Electronics,view,400,1778597805
81,casual,Malaysia,2025-06-20,67.0,Data Science Handbook,Packt,Books,view,70,1778597805
133,browser,Malaysia,2024-11-06,8.0,AirPods Pro,Apple,Electronics,view,250,1778597805
354,browser,Malaysia,2025-07-16,61.0,Treadmill,Technogym,Sports,view,1500,1778597805
96,casual,Singapore,2024-11-23,2970.0,Smart Watch,Fitbit,Electronics,click,2400,1778597805
265,buyer,Indonesia,2024-05-15,6.0,Samsung Tablet,Samsung,Electronics,invalid,700,1778597805
79,buyer,Malaysia,2025-10-31,1870.0,Jacket,Zara,Fashion,purchase,200,1778597805
,browser,Philippines,2024-07-19,56.0,Football,Adidas,Sports,invalid,40,1778597805
413,casual,Vietnam,2024-11-24,16.0,Running Shoes,Nike,Fashion,view,-120,1778597805
,buyer,Singapore,2024-05-17,9.0,Smart Watch,Fitbit,Electronics,click,400,1778597805
93,casual,Malaysia,2025-11-05,12.0,Wireless Mouse,Logitech,Electronics,click,-80,1778597805
421,browser,Singapore,2025-06-24,,Skipping Rope,Decathlon,Sports,view,20,1778597805
280,browser,Malaysia,2025-12-26,55.0,Nail Polish,O.P.I,Beauty,view,15,1778597805
235,browser,Singapore,2024-10-03,2.0,Samsung Galaxy S23,Samsung,Electronics,view,1000,1778597805
139,buyer,Malaysia,2025-10-22,38.0,Toaster,Philips,Home,view,70,1778597805
431,casual,Malaysia,2025-11-11,47.0,Moisturizer,Nivea,Beauty,purchase,-40,1778597805
5,casual,Indonesia,2024-12-26,62.0,Cycling Helmet,Giro,Sports,click,160,1778597805
306,browser,Malaysia,2026-04-15,4045.0,iPad Air,Apple,Electronics,view,6300,1778597805
359,buyer,Malaysia,2024-06-25,55.0,Nail Polish,O.P.I,Beauty,view,15,1778597805
,buyer,Malaysia,2025-08-16,60.0,Dumbbells,Decathlon,Sports,view,150,1778597805
359,buyer,Singapore,2024-09-09,63.0,Skipping Rope,Decathlon,Sports,click,160,1778597805
unknown_user,casual,Malaysia,2024-12-12,2732.0,Sneakers,Adidas,Fashion,click,150,1778597805
409,browser,Singapore,2024-10-16,,Coffee Maker,Philips,Home,view,150,1778597805
unknown_user,browser,Malaysia,2024-08-27,,Sony Headphones,Sony,Electronics,click,300,1778597805
223,browser,Malaysia,2024-09-28,23.0,Cap,Nike,Fashion,click,30,1778597805
,casual,Singapore,2025-05-18,14.0,External SSD,Samsung,Electronics,purchase,200,1778597805
425,browser,Singapore,2024-08-17,14.0,External SSD,Samsung,Electronics,view,200,1778597805
,browser,Thailand,2025-04-18,53.0,Sunscreen,Nivea,Beauty,view,35,1778597805
24,browser,Malaysia,2025-05-29,63.0,Skipping Rope,Decathlon,Sports,invalid,20,1778597805
20,buyer,Indonesia,2024-07-25,46.0,Face Cleanser,Nivea,,view,30,1778597805
393,casual,Indonesia,2025-06-10,27.0,Sports Shorts,Nike,Fashion,view,50,1778597805
153,browser,Singapore,2025-09-28,,Bed Frame,Ikea,Home,click,900,1778597805
458,buyer,Singapore,2025-08-08,24.0,Sunglasses,Ray-Ban,Fashion,invalid,180,1778597805
395,browser,Malaysia,2025-01-05,37.0,Microwave Oven,Samsung,Home,view,-750,1778597805
,browser,Malaysia,2025-05-26,34.0,Blender,Philips,Home,view,-100,1778597805
96,buyer,Malaysia,2024-11-06,56.0,Football,Adidas,Sports,purchase,120,1778597805
239,casual,Vietnam,2024-12-02,33.0,Vacuum Cleaner,Dyson,Home,purchase,300,1778597805
195,casual,Thailand,2024-09-23,1675.0,Curtains,Ikea,Home,view,120,1778597805
429,casual,Philippines,2025-02-01,10.0,Gaming Laptop,Asus,Electronics,click,2200,1778597805
314,buyer,Malaysia,2026-01-04,3258.0,Football,Adidas,Sports,click,40,1778597805
311,casual,Singapore,2025-12-31,2033.0,Perfume,Dior,Beauty,invalid,150,1778597805
411,browser,Malaysia,2026-03-03,54.0,Body Lotion,Dove,Beauty,invalid,25,1778597805
280,browser,Philippines,2026-02-10,3142.0,Jacket,Zara,Fashion,view,200,1778597805
200,casual,Philippines,2026-02-21,57.0,Basketball,Nike,Sports,view,250,1778597805
,browser,Malaysia,2024-09-12,37.0,Microwave Oven,Samsung,Home,view,250,1778597805
12,buyer,Singapore,2025-11-25,64.0,Gym Bag,Nike,Sports,click,360,1778597805
420,buyer,Indonesia,2024-11-06,28.0,Formal Shirt,Zara,Fashion,purchase,90,1778597805
279,casual,Malaysia,2025-12-15,28.0,Formal Shirt,Zara,Fashion,view,90,1778597805
219,browser,Thailand,2024-09-13,10.0,Gaming Laptop,Asus,Electronics,click,2200,1778597805
115,casual,Thailand,2025-06-01,18.0,Jeans,Levi's,Fashion,purchase,80,1778597805
163,casual,Malaysia,2025-09-10,,Curtains,Ikea,Home,view,120,1778597805
,browser,Thailand,2025-04-10,33.0,Vacuum Cleaner,Dyson,Home,view,300,1778597805
95,browser,Malaysia,2025-03-25,5.0,iPad Air,Apple,Electronics,view,9000,1778597805
115,browser,Thailand,2024-07-02,38.0,Toaster,Philips,Home,view,70,1778597805
481,casual,Malaysia,2024-07-11,22.0,Hoodie,Puma,,view,-540,1778597805
,browser,Singapore,2025-01-15,31.0,Coffee Maker,Philips,Home,view,-900,1778597805
87,casual,Philippines,2025-05-19,57.0,Basketball,Nike,Sports,view,-50,1778597805
,buyer,Malaysia,2024-08-04,16.0,Running Shoes,Nike,Fashion,purchase,120,1778597805
237,buyer,Singapore,2024-08-17,35.0,Rice Cooker,Panasonic,Home,purchase,480,1778597805
unknown_user,browser,Malaysia,2025-07-21,64.0,Gym Bag,Nike,Sports,view,90,1778597805
33,browser,Malaysia,2024-11-27,60.0,Dumbbells,Decathlon,Sports,view,150,1778597805
,buyer,Malaysia,2025-06-13,65.0,Water Bottle,Stanley,Sports,view,-25,1778597805
193,buyer,Malaysia,2024-11-20,,Face Cleanser,Nivea,Beauty,view,210,1778597805
226,casual,Malaysia,2025-01-25,64.0,Gym Bag,Nike,Sports,view,90,1778597805
248,browser,Singapore,2024-12-20,,AirPods Pro,Apple,Electronics,view,1250,1778597805
